Commodity, Weight in Kg, Price in Rs,Date
Lemon, 1, 60 to 70,2017-09-29
Tomato/Thakkali 1st Quality, 1, 15,2017-09-29
Tomato/Thakkali 2nd Quality, 1, 10,2017-09-29
Small Onion, 1, 70 to 80,2017-09-29
Bellary (Big Onion), 1, 20 to 25,2017-09-29
Beans 1st Quality, –, 70 to 80,2017-09-29
Beans 2nd Quality, 1, 65 to 75,2017-09-29
Carrot 1st Quality, 1, 30 to 35,2017-09-29
Carrot 2nd Quality, 1, 25 to 30,2017-09-29
Vendai Kai/Lady Finger, 1, 10,2017-09-29
Maram Murungai, 1, 65,2017-09-29
Chedi Murungai, 1, 75,2017-09-29
Avarai Ottu, 1, 40 to 50,2017-09-29
Pachai Payaru, 1, 28,2017-09-29
Vellai Payaru, 1, 38,2017-09-29
Suraikai, 1, 3,2017-09-29
Beetroot, 1, 18 to 22,2017-09-29
Sunami Sambar, 1, 45,2017-09-29
Pusanikai, 1, 10,2017-09-29
Kalla Manga/Mango, 1, 45,2017-09-29
Orutu Manga/Mango, 1, 55,2017-09-29
Potato 1st Quality, 1, 18 to 20,2017-09-29
Potato 2nd Quality, 1, 15,2017-09-29
Coconut 1st Quality, –, 40 to 42,2017-09-29
Coconut 2nd Quality, –, 35 to 36,2017-09-29
Green Chilli, 1, 18 to 20,2017-09-29
Cauliflower 1st Quality, –, 20,2017-09-29
Cauliflower 2nd Quality, –, 15,2017-09-29
Katharikai Pachai, 1, 60,2017-09-29
Katharikai ootha, 1, 40,2017-09-29
Valai Thar, –, 26,2017-09-29
Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-09-29
Pudalangai/Snake gourd 1st Quality, 1, 10,2017-09-29
Pudalangai/Snake gourd 2nd Quality, 1, –,2017-09-29
Kothamalli 1st Quality, 1 kattu, 60 ti 80,2017-09-29
Kothamalli 2nd Quality, 1 kattu, 55 to 75,2017-09-29
Mullangi 1st Quality, 1, 30,2017-09-29
Mullangi 2nd Quality, 1, 25,2017-09-29
Inji/Ginger, 1, 45 to 50,2017-09-29
Butter Beans, 1, 140,2017-09-29
Mutta Kose, 1, 20,2017-09-29
Pachai Pattani, 1, 220,2017-09-29
Pakarkai, 1, 25,2017-09-29
Nookal, 1, 40,2017-09-29
Chaw Chaw, 1, 12,2017-09-29
Kovakkai, 1, 20,2017-09-29
Kothavarangai, 1, 20,2017-09-29
Nellikai, 1, 30,2017-09-29
Narthangai, 1, 30,2017-09-29
Vellarikai, 1, 25,2017-09-29
Lemon, 1, 60,2017-05-04
Tomato/Thakkali 1st Quality, 1, 10,2017-05-04
Tomato/Thakkali 2nd Quality, 1, –,2017-05-04
Small Onion, 1, 55 to 60,2017-05-04
Bellary (Big Onion), 1, 10 to 12,2017-05-04
Beans 1st Quality, –, 85 to 90,2017-05-04
Beans 2nd Quality, 1, 80 to 85,2017-05-04
Carrot 1st Quality, 1, 60 to 65,2017-05-04
Carrot 2nd Quality, 1, 55 to 60,2017-05-04
Vendai Kai/Lady Finger, 1, 9,2017-05-04
Maram Murungai, 1, 24 to 32,2017-05-04
Chedi Murungai, 1, 28,2017-05-04
Avarai Ottu, 1, 25 to 55,2017-05-04
Pachai Payaru, 1, 10,2017-05-04
Vellai Payaru, 1, 20,2017-05-04
Suraikai, 1, 7,2017-05-04
Beetroot, 1, 25 to 35,2017-05-04
Sunami Sambar, 1, 12 to 15,2017-05-04
Pusanikai, 1, 12,2017-05-04
