Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 40
Tomotto ottu, 1, 50
Ladys Finger, 1, 30
Snake Guard, 1, 24
Bitter Gourd, 1, 36
Bottle gourd, 1, 14
Pumpkin, 1, 20
Bean, 1, 64
Cluster Beans, 1, 24
Red Chilies, 1, 60
Onion, 1, 30
Pallari, 1, 36
Ginger, 1, 120
Potato, 1, 30
Radish, 1, 26
Mango, 1, 20
Cabbage, 1, 24
Carrot, 1, 46
Beetroot, 1, 44
Soybeans, 1, 90
Drumstick beans, 1, 54
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 8
Banana Flower, 1, 6
Curry leaves, 1, 20
Coriander leaves, 1, 35
Mint, 1, 25
Greens Leaves, 1, 10
Garlic, 1, 70-140
Button Mushrooms, 1, 180
Papaya, 1, 20
SavSav, 1, 34
