,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 50,2014-12-10
1,1,Tomotto ottu, 1, 28,2014-12-10
2,2,Ladys Finger, 1, 30,2014-12-10
3,3,Snake Guard, 1, 36,2014-12-10
4,4,Bitter Gourd, 1, 30,2014-12-10
5,5,Bottle gourd, 1, 12,2014-12-10
6,6,Pumpkin, 1, 20,2014-12-10
7,7,Bean, 1, 46,2014-12-10
8,8,Cluster Beans, 1, 24,2014-12-10
9,9,Red Chilies, 1, 50,2014-12-10
10,10,Onion, 1, 40,2014-12-10
11,11,Pallari, 1, 28,2014-12-10
12,12,Ginger, 1, –,2014-12-10
13,13,Potato, 1, 38,2014-12-10
14,14,Radish, 1, 30,2014-12-10
15,15,Mango, 1, –,2014-12-10
16,16,Cabbage, 1, 26,2014-12-10
17,17,Carrot, 1, 36,2014-12-10
18,18,Beetroot, 1, 40,2014-12-10
19,19,Soybeans, 1, 90,2014-12-10
20,20,Drumstick beans, 1, 58,2014-12-10
21,21,butter beans, 1, –,2014-12-10
22,22,Banana nut, 1 piece, 5,2014-12-10
23,23,Banana stem, 1, 10,2014-12-10
24,24,Banana Flower, 1, 12,2014-12-10
25,25,Curry leaves, 1, 30,2014-12-10
26,26,Coriander leaves, 1, 30,2014-12-10
27,27,Mint, 1, 30,2014-12-10
28,28,Greens Leaves, 1, 10,2014-12-10
29,29,Garlic, 1, 80-190,2014-12-10
30,30,Button Mushrooms, 1, 196,2014-12-10
31,31,Papaya, 1, 20,2014-12-10
32,32,SavSav, 1, 28,2014-12-10
