,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 55,2014-12-6
1,Tomotto ottu, 1, 24,2014-12-6
2,Ladys Finger, 1, 36,2014-12-6
3,Snake Guard, 1, 32,2014-12-6
4,Bitter Gourd, 1, 30,2014-12-6
5,Bottle gourd, 1, 12,2014-12-6
6,Pumpkin, 1, 20,2014-12-6
7,Bean, 1, 44,2014-12-6
8,Cluster Beans, 1, 24,2014-12-6
9,Red Chilies, 1, 44,2014-12-6
10,Onion, 1, 32,2014-12-6
11,Pallari, 1, 28,2014-12-6
12,Ginger, 1, –,2014-12-6
13,Potato, 1, 38,2014-12-6
14,Radish, 1, 30,2014-12-6
15,Mango, 1, –,2014-12-6
16,Cabbage, 1, 24,2014-12-6
17,Carrot, 1, 40,2014-12-6
18,Beetroot, 1, 44,2014-12-6
19,Soybeans, 1, 70,2014-12-6
20,Drumstick beans, 1, 44,2014-12-6
21,butter beans, 1, –,2014-12-6
22,Banana nut, 1 piece, 5,2014-12-6
23,Banana stem, 1, 10,2014-12-6
24,Banana Flower, 1, 12,2014-12-6
25,Curry leaves, 1, 30,2014-12-6
26,Coriander leaves, 1, 30,2014-12-6
27,Mint, 1, 30,2014-12-6
28,Greens Leaves, 1, 10,2014-12-6
29,Garlic, 1, 80-180,2014-12-6
30,Button Mushrooms, 1, 180,2014-12-6
31,Papaya, 1, 20,2014-12-6
32,SavSav, 1, 30,2014-12-6
