,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Brinjal, 1, 28,2014-05-03
1,1,1,Tomotto ottu, 1, 14,2014-05-03
2,2,2,LadyFinger, 1, 20,2014-05-03
3,3,3,SnakeGuard, 1, 22,2014-05-03
4,4,4,BitterGourd, 1, 30,2014-05-03
5,5,5,Bottlegourd, 1, 14,2014-05-03
6,6,6,Pumpkin, 1, 16,2014-05-03
7,7,7,Bean, 1, 50,2014-05-03
8,8,8,ClusterBeans, 1, 26,2014-05-03
9,9,9,Red Chillies, 1, 70,2014-05-03
10,10,10,Onion, 1, 26,2014-05-03
11,11,11,Pallari, 1, 20,2014-05-03
12,12,12,Ginger, 1, 130,2014-05-03
13,13,13,Potato, 1, 30,2014-05-03
14,14,14,Radish, 1, 18,2014-05-03
15,15,15,Mango, 1, 22,2014-05-03
16,16,16,Cabbage, 1, 16,2014-05-03
17,17,17,Carrot, 1, 28,2014-05-03
18,18,18,Beetroot, 1, 24,2014-05-03
19,19,19,Soybeans, 1, 100,2014-05-03
20,20,20,Drumstickbeans, 1, 44,2014-05-03
21,21,21,butterbeans, 1, –,2014-05-03
22,22,22,Banana nut, 1 piece, 03,2014-05-03
23,23,23,Banana stem, 1, 08,2014-05-03
24,24,24,BananaFlower, 1, 08,2014-05-03
25,25,25,Curry leaves, 1, 30,2014-05-03
26,26,26,Coriander leaves, 1, 35,2014-05-03
27,27,27,Mint, 1, 30,2014-05-03
28,28,28,GreensLeaves, 1, 8,2014-05-03
29,29,29,Garlic, 1, 100-120,2014-05-03
30,30,30,ButtonMushrooms, 1, 180,2014-05-03
31,31,31,Papaya, 1, 26,2014-05-03
32,32,32,SavSav, 1, 30,2014-05-03
