Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 34
Tomotto ottu, 1, 12
Ladys Finger, 1, 16
Snake Guard, 1, 18
Bitter Gourd, 1, 20
Bottle gourd, 1, 8
Pumpkin, 1, 16
Bean, 1, 28
Cluster Beans, 1, 18
Red Chilies, 1, 34
Onion, 1, 30
Pallari, 1, 30
Ginger, 1, –
Potato, 1, 30
Radish, 1, 10
Mango, 1, –
Cabbage, 1, 32
Carrot, 1, 34
Beetroot, 1, 26
Soybeans, 1, 80
Drumstick beans, 1, 44
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 12
Banana Flower, 1, 14
Curry leaves, 1, 40
Coriander leaves, 1, 20
Mint, 1, 20
Greens Leaves, 1, 10
Garlic, 1, 120-140
Button Mushrooms, 1, 196
Papaya, 1, 20
SavSav, 1, 18
Sapotta, 1, 20
