,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon, 1, 40 to 60,2017-11-3
1,Tomato/Thakkali 1st Quality, 1, 25 to 30,2017-11-3
2,Tomato/Thakkali 2nd Quality, 1, 20 to 25,2017-11-3
3,Small Onion, 1, 110 to 120,2017-11-3
4,Bellary (Big Onion), 1, 35 to 45,2017-11-3
5,Beans 1st Quality, –, 50 to 60,2017-11-3
6,Beans 2nd Quality, 1, 45 to 55,2017-11-3
7,Carrot 1st Quality, 1, 40 to 45,2017-11-3
8,Carrot 2nd Quality, 1, 35 to 40,2017-11-3
9,Vendai Kai/Lady Finger, 1, 11,2017-11-3
10,Maram Murungai, 1, 65,2017-11-3
11,Chedi Murungai, 1, 40,2017-11-3
12,Avarai Ottu, 1, 90,2017-11-3
13,Pachai Payaru, 1, 16,2017-11-3
14,Vellai Payaru, 1, 17,2017-11-3
15,Suraikai, 1, 4,2017-11-3
16,Beetroot, 1, 30,2017-11-3
17,Sunami Sambar, 1, 6,2017-11-3
18,Pusanikai, 1, 10,2017-11-3
19,Kalla Manga/Mango, 1, 85,2017-11-3
20,Orutu Manga/Mango, 1, 70,2017-11-3
21,Potato 1st Quality, 1, 15 to 18,2017-11-3
22,Potato 2nd Quality, 1, 10,2017-11-3
23,Coconut 1st Quality, –, 42 to 45,2017-11-3
24,Coconut 2nd Quality, –, 35,2017-11-3
25,Green Chilli, 1, 35 to 40,2017-11-3
26,Cauliflower 1st Quality, –, 40 to 50,2017-11-3
27,Cauliflower 2nd Quality, –, 35 to 45,2017-11-3
28,Katharikai Pachai, 1, 20,2017-11-3
29,Katharikai ootha, 1, 24,2017-11-3
30,Valai Thar, –, 24 to 26,2017-11-3
31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-11-3
32,Pudalangai/Snake gourd 1st Quality, 1, 10,2017-11-3
33,Pudalangai/Snake gourd 2nd Quality, 1, –,2017-11-3
34,Kothamalli 1st Quality, 1 kattu, 50 to 70,2017-11-3
35,Kothamalli 2nd Quality, 1 kattu, 45 to 65,2017-11-3
36,Mullangi 1st Quality, 1, 40 to 45,2017-11-3
37,Mullangi 2nd Quality, 1, 35 to 40,2017-11-3
38,Inji/Ginger, 1, 30 to 40,2017-11-3
39,Butter Beans, 1, 100 to 120,2017-11-3
40,Mutta Kose, 1, 40 to 45,2017-11-3
41,Pachai Pattani, 1, 180 to 200,2017-11-3
42,Pakarkai, 1, 15,2017-11-3
43,Nookal, 1, 30,2017-11-3
44,Chaw Chaw, 1, 6,2017-11-3
45,Kovakkai, 1, 33,2017-11-3
46,Kothavarangai, 1, 12,2017-11-3
47,Nellikai, 1, 20 to 27,2017-11-3
48,Narthangai, 1, 25,2017-11-3
49,Vellarikai, 1, 33,2017-11-3
