Commodity, Weight in Kg, Price in Rs
Avarai Belt / அவரை (பெல்ட்), 1, 30
Avarai Kolee / அவரை (கோலி), 1, 22
Avarai ottu  / அவரை (ஒட்டு), 1, –
Beans / பீன்ஸ், 1, 17
Beetroot / பீட்ரூட், 1, 9
Bellary / பெல்லாரி, 1, 50
C Flower / காளிபிளவர், 1Flower, 15
C Vengayam / சின்னவெங்காயம், 1, 70
Chaw Chaw / சவ்சவ், 1, 8
Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 17
Kaththari Green / கத்தரி(பச்சை), 1, 17
Kothavarai / கொத்தவரை, 1, 16
Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 25
Milagai urundai / மிளகாய்(உருண்டை), 1, 21
Mullaingi / முள்ளங்கி, 1, 7
Murungai chedi / முருங்கை(செடி), 1, 45
Murungai Maram / முருங்கை(மரம்), 1, 37
Nelli / நெல்லி, 1, 18
Pavarkai / பாகற்காய், 1, 18
Perkangkai / பீர்க்கங்காய், 1, 16
Pudalai / புடலங்காய், 1, 5
Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8
Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4
Suraikai / சுரைக்காய், 1, 3
Thakkali / தக்காளி, 1, 20
Thatta payaru / தட்டப்பயிறு, 1, 7
Vendai / வெண்டைக்காய், 1, 15
