Commodity, Weight in Kg, Price in Rs
Avarai Belt / அவரை (பெல்ட்), 1, 51
Avarai Kolee / அவரை (கோலி), 1, 40
Avarai ottu  / அவரை (ஒட்டு), 1, –
Beans / பீன்ஸ், 1, 55
Beetroot / பீட்ரூட், 1, 18
Bellary / பெல்லாரி, 1, 18
C Flower / காளிபிளவர், 1Flower, 15
C Vengayam / சின்னவெங்காயம், 1, 55
Chaw Chaw / சவ்சவ், 1, 37
Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 13
Kaththari Green / கத்தரி(பச்சை), 1, 10
Kothavarai / கொத்தவரை, 1, 8
Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 33
Milagai urundai / மிளகாய்(உருண்டை), 1, 43
Mullaingi / முள்ளங்கி, 1, 6
Murungai chedi / முருங்கை(செடி), 1, 10
Murungai Maram / முருங்கை(மரம்), 1, 7
Nelli / நெல்லி, 1, 15
Pavarkai / பாகற்காய், 1, 17
Perkangkai / பீர்க்கங்காய், 1, 12
Pudalai / புடலங்காய், 1, 20
Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 10
Sambar Vellari / சாம்பார் வெள்ளரி, 1, 9
Suraikai / சுரைக்காய், 1, 5
Thakkali / தக்காளி, 1, 27
Thatta payaru / தட்டப்பயிறு, 1, 16
Vendai / வெண்டைக்காய், 1, 9
