,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai(Belt) / அவரை (பெல்ட்), 1,15.0,2013-march-10th
1,Avarai(Kolee) / அவரை (கோலி), 1,20.0,2013-march-10th
2,Avarai(ottu) / அவரை (ஒட்டு), 1,20.0,2013-march-10th
3,Beans / பீன்ஸ், 1,43.0,2013-march-10th
4,Beetroot / பீட்ரூட், 1,5.0,2013-march-10th
5,Bellary / பெல்லாரி, 1,23.0,2013-march-10th
6,C.Flower / காளிபிளவர், 1Flower,8.0,2013-march-10th
7,C.Vengayam / சின்னவெங்காயம், 1,18.0,2013-march-10th
8,Chaw Chaw / சவ்சவ், 1,9.0,2013-march-10th
9,Kaththari(Disco) / கத்தரி(டிஸ்கோ), 1,12.0,2013-march-10th
10,Kaththari(Green) / கத்தரி(பச்சை), 1,13.0,2013-march-10th
11,Kothavarai / கொத்தவரை, 1,17.0,2013-march-10th
12,Milagai(Sambar) / மிளகாய்(சாம்பார்), 1,15.0,2013-march-10th
13,Milagai(urundai) / மிளகாய்(உருண்டை), 1,21.0,2013-march-10th
14,Mullaingi / முள்ளங்கி, 1,5.0,2013-march-10th
15,Murungai(chedi) / முருங்கை(செடி), 1,18.0,2013-march-10th
16,Murungai(Maram) / முருங்கை(மரம்), 1,10.0,2013-march-10th
17,Nelli / நெல்லி, 1,23.0,2013-march-10th
18,Pavarkai / பாகற்காய், 1,23.0,2013-march-10th
19,Perkangkai / பீர்க்கங்காய், 1,10.0,2013-march-10th
20,Pudalai / புடலங்காய், 1,6.0,2013-march-10th
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1,8.5,2013-march-10th
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1,8.0,2013-march-10th
23,Suraikai / சுரைக்காய், 1,3.5,2013-march-10th
24,Thakkali / தக்காளி, 1,5.0,2013-march-10th
25,Thatta payaru / தட்டப்பயிறு, 1,28.0,2013-march-10th
26,Vendai / வெண்டைக்காய், 1,27.0,2013-march-10th
