Commodity, Weight in Kg, Price in Rs
Avarai(Belt) / அவரை (பெல்ட்), 1, 15
Avarai(Kolee) / அவரை (கோலி), 1, 20
Avarai(ottu) / அவரை (ஒட்டு), 1, 20
Beans / பீன்ஸ், 1, 43
Beetroot / பீட்ரூட், 1, 5
Bellary / பெல்லாரி, 1, 18
C.Flower / காளிபிளவர், 1Flower, 8
C.Vengayam / சின்னவெங்காயம், 1, 18
Chaw Chaw / சவ்சவ், 1, 9
Kaththari(Disco) / கத்தரி(டிஸ்கோ), 1, 12
Kaththari(Green) / கத்தரி(பச்சை), 1, 13
Kothavarai / கொத்தவரை, 1, 17
Milagai(Sambar) / மிளகாய்(சாம்பார்), 1, 15
Milagai(urundai) / மிளகாய்(உருண்டை), 1, 21
Mullaingi / முள்ளங்கி, 1, 5
Murungai(chedi) / முருங்கை(செடி), 1, 10
Murungai(Maram) / முருங்கை(மரம்), 1, 10
Nelli / நெல்லி, 1, 23
Pavarkai / பாகற்காய், 1, 23
Perkangkai / பீர்க்கங்காய், 1, 10
Pudalai / புடலங்காய், 1, 6
Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8.50
Sambar Vellari / சாம்பார் வெள்ளரி, 1, 8
Suraikai / சுரைக்காய், 1, 3.50
Thakkali / தக்காளி, 1, 5
Thatta payaru / தட்டப்பயிறு, 1, 28
Vendai / வெண்டைக்காய், 1, 27
