,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Beans, 1,43.0,2013-march-8th
1,Pavarkai, 1,23.0,2013-march-8th
2,Perkangkai, 1,10.0,2013-march-8th
3,Beetroot, 1,5.0,2013-march-8th
4,Pudalai, 1,6.0,2013-march-8th
5,Mullaingi, 1,5.0,2013-march-8th
6,Bellary, 1,23.0,2013-march-8th
7,C.Vengayam, 1,18.0,2013-march-8th
8,C.Flower, 1 Piece,8.0,2013-march-8th
9,Suraikai, 1,3.5,2013-march-8th
10,Sambar Vellari, 1,8.0,2013-march-8th
11,Red Pusanikkai, 1,8.5,2013-march-8th
12,Chaw Chaw, 1,9.0,2013-march-8th
13,Kothavarai, 1,17.0,2013-march-8th
14,Avarai(ottu), 1,20.0,2013-march-8th
15,Avarai(Belt), 1,15.0,2013-march-8th
16,Avarai(Kolee), 1,20.0,2013-march-8th
17,Milagai(Sambar), 1,15.0,2013-march-8th
18,Milagai(urundai), 1,21.0,2013-march-8th
19,Nelli, 1,23.0,2013-march-8th
20,Kaththari(Disco), 1,12.0,2013-march-8th
21,Kaththari(Green), 1,13.0,2013-march-8th
22,Thakkali, 1,5.0,2013-march-8th
23,Vendai, –,27.0,2013-march-8th
24,Murungai(chedi), 1,18.0,2013-march-8th
25,Murungai(Maram), 1,10.0,2013-march-8th
26,Thatta payaru, 1,28.0,2013-march-8th
