,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 32,2014-1-9
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 08,2014-1-9
2,LadyFinger/வெண்டைக்காய், 1, 18,2014-1-9
3,SnakeGuard/புடலங்காய், 1, 16,2014-1-9
4,BitterGourd/பாகற்காய், 1, 22,2014-1-9
5,Bottlegourd/சுரைக்காய், 1, 12,2014-1-9
6,Pumpkin/பூசணிக்காய், 1, 14,2014-1-9
7,Bean/அவரை, 1, 24,2014-1-9
8,ClusterBeans/கொத்தவரை, 1, 14,2014-1-9
9,Red Chillies/குண்டு மிளகாய், 1, 24,2014-1-9
10,Onion/வெங்காயம், 1, 22,2014-1-9
11,Pallari/பல்லாரி, 1, 20,2014-1-9
12,Ginger/இஞ்சி, 1, 100,2014-1-9
13,Potato/உருளைக்கிழங்கு, 1, 28,2014-1-9
14,Radish/முள்ளங்கி, 1, 16,2014-1-9
15,Mango/மாங்காய், 1, 30,2014-1-9
16,Cabbage/முட்டைக்கோஸ், 1, 14,2014-1-9
17,Carrot/கேரட், 1, 24,2014-1-9
18,Beetroot/பீட்ரூட், 1, 20,2014-1-9
19,Soybeans/சோயாபீன்ஸ், 1, 70,2014-1-9
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 32,2014-1-9
21,butterbeans/பட்டர்பீன்ஸ், 1, 85,2014-1-9
22,Banana nut/வாழைக்காய், 1 piece, 02,2014-1-9
23,Banana stem/வாழைத்தண்டு, 1, 08,2014-1-9
24,BananaFlower/வாழைப்பூ, 1, 05,2014-1-9
25,Curry leaves/கருவேப்பிலை, 1, 10,2014-1-9
26,Coriander leaves/மல்லி இலை, 1, 25,2014-1-9
27,Mint/புதினா, 1, 20,2014-1-9
28,GreensLeaves/கீரைக்கட்டு, 1, 08,2014-1-9
29,Garlic/பூண்டு, 1, 80-140,2014-1-9
30,ButtonMushrooms/ பட்டன்காளான், 1, 180,2014-1-9
31,Papaya/ பப்பாளிப்பழம், 1, 22,2014-1-9
32,SavSav/ சவ்சவ், 1, 14,2014-1-9
