,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 22,2015-9-27
1,1,Avarai Kolee, 1, 23,2015-9-27
2,2,Avarai ottu, 1, –,2015-9-27
3,3,Beans, 1, 15,2015-9-27
4,4,Beetroot, 1, 5,2015-9-27
5,5,Bellary, 1, 50,2015-9-27
6,6,C Flower, 1 Flower, 8,2015-9-27
7,7,C Vengayam, 1, 35,2015-9-27
8,8,Chaw Chaw, 1, 20,2015-9-27
9,9,Kaththari Disco, 1, 16,2015-9-27
10,10,Kaththari Green, 1, 17,2015-9-27
11,11,Kothavarai, 1, 10,2015-9-27
12,12,Milagai Samba, 1, 12,2015-9-27
13,13,Milagai urundai, 1, 15,2015-9-27
14,14,Mullaingi, 1, 5,2015-9-27
15,15,Murungai chedi, 1, 17,2015-9-27
16,16,Murungai Maram, 1, 13,2015-9-27
17,17,Nelli, 1, 28,2015-9-27
18,18,Pavarkai, 1, 8,2015-9-27
19,19,Perkangkai, 1, 7,2015-9-27
20,20,Pudalai, 1, 6,2015-9-27
21,21,Red Pusanikkai, 1, 4,2015-9-27
22,22,Sambar Vellari, 1, 5,2015-9-27
23,23,Suraikai, 1, 5,2015-9-27
24,24,Thakkali, 1, 7,2015-9-27
25,25,Thatta payaru, 1, 15,2015-9-27
26,26,Vendai, 1, 7,2015-9-27
27,27,Lemon, 1, 55,2015-9-27
