,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,1, Keelakarai, Rs. 12,000 – Rs.14,0,2016-3-15
1,1,2, Pollachi, Rs. 15,000 – Rs. 17,0,2016-3-15
2,2,3, Kambam, Rs. 13,000 – Rs. 15,0,2016-3-15
3,3,4, Chinnamanur, Rs. 12,000 – Rs. 14,0,2016-3-15
4,4,5, Ayyampalayam, Rs. 13,000 – Rs. 15,0,2016-3-15
5,5,6, Natham, Rs. 12,000 – Rs.14,0,2016-3-15
6,6,7, Rajapalayam, Rs. 12,000 – Rs.14,0,2016-3-15
7,7,8, Nadu, Rs. 12,000 – Rs.14,0,2016-3-15
8,8,9, Palani, Rs. 13,000 – Rs. 15,0,2016-3-15
9,9,10, Dindigul, Rs. 13,000 – Rs. 15,0,2016-3-15
10,10,11, Kopparai Coconut (1 Ton), Rs. 47,000 to Rs. 49,0,2016-3-15
