,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon/எலுமிச்சை,1, 20 to 25,2017-12-18
1,1,1,1,1,1,Tomato/தக்காளி 1st Quality,1, 6 to 8,2017-12-18
2,2,2,2,2,2,Tomato/தக்காளி 2nd Quality,1, –,2017-12-18
3,3,3,3,3,3,Small Onion/சிறிய வெங்காயம்,1, 70 to 110,2017-12-18
4,4,4,4,4,4,Bellary/பெல்லாரி,1, 35 to 45,2017-12-18
5,5,5,5,5,5,Beans/பீன்ஸ் 1st Quality,1, 25 to 30,2017-12-18
6,6,6,6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 20 to 25,2017-12-18
7,7,7,7,7,7,Carrot/கேரட் 1st Quality,1, 30 to 40,2017-12-18
8,8,8,8,8,8,Carrot/கேரட் 2nd Quality,1, 25 to 35,2017-12-18
9,9,9,9,9,9,Lady Finger/வெண்டைக்காய்,1, 7,2017-12-18
10,10,10,10,10,10,Tree Drumstick/மரம் முருங்கை,1, –,2017-12-18
11,11,11,11,11,11,Plant Drumstick/முருங்கை,1, 130 to 150,2017-12-18
12,12,12,12,12,12,Beans/அவரை ஒட்டு,1, 17 to 26,2017-12-18
13,13,13,13,13,13,Green Pulses/பச்சை பயிறு,1, 17,2017-12-18
14,14,14,14,14,14,White Pulses/வெள்ளை பயிறு,1, 19,2017-12-18
15,15,15,15,15,15,Zucchini/சுரைக்காய்,1, 3 .50,2017-12-18
16,16,16,16,16,16,Beetroot/பீட்ரூட்,1, 13,2017-12-18
17,17,17,17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017-12-18
18,18,18,18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2017-12-18
19,19,19,19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 80,2017-12-18
20,20,20,20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 70 to 75,2017-12-18
21,21,21,21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017-12-18
22,22,22,22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-18
