,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon, 1, 60,2017- 7-3
1,1,1,Tomato/Thakkali 1st Quality, 1, 70,2017- 7-3
2,2,2,Tomato/Thakkali 2nd Quality, 1, 65,2017- 7-3
3,3,3,Small Onion, 1, 80 to 110,2017- 7-3
4,4,4,Bellary (Big Onion), 1, 11 to 12,2017- 7-3
5,5,5,Beans 1st Quality, –, 70 to 80,2017- 7-3
6,6,6,Beans 2nd Quality, 1, 65 to 75,2017- 7-3
7,7,7,Carrot 1st Quality, 1, 65 to 70,2017- 7-3
8,8,8,Carrot 2nd Quality, 1, 60 to 65,2017- 7-3
9,9,9,Vendai Kai/Lady Finger, 1, 30 to 45,2017- 7-3
10,10,10,Maram Murungai, 1, 25,2017- 7-3
11,11,11,Chedi Murungai, 1, 45,2017- 7-3
12,12,12,Avarai Ottu, 1, 55,2017- 7-3
13,13,13,Pachai Payaru, 1, 15,2017- 7-3
14,14,14,Vellai Payaru, 1, 25,2017- 7-3
15,15,15,Suraikai, 1, 25,2017- 7-3
16,16,16,Beetroot, 1, 15 to 20,2017- 7-3
17,17,17,Sunami Sambar, 1, 5.50 to 6.50,2017- 7-3
18,18,18,Pusanikai, 1, 20 to 25,2017- 7-3
19,19,19,Kalla Manga/Mango, 1, 15 to 20,2017- 7-3
20,20,20,Orutu Manga/Mango, 1, 18 to 20,2017- 7-3
21,21,21,Potato 1st Quality, 1, 28 to 30,2017- 7-3
22,22,22,Potato 2nd Quality, 1, 23 to 25,2017- 7-3
23,23,23,Coconut 1st Quality, –, 40 to 45,2017- 7-3
24,24,24,Coconut 2nd Quality, –, 35 to 40,2017- 7-3
25,25,25,Green Chilli, 1, 20 to 25,2017- 7-3
26,26,26,Cauliflower 1st Quality, –, 25 to30,2017- 7-3
27,27,27,Cauliflower 2nd Quality, –, 20 to 25,2017- 7-3
28,28,28,Katharikai Pachai, 1, 25,2017- 7-3
29,29,29,Katharikai ootha, 1, 30,2017- 7-3
30,30,30,Valai Thar, –, 25 ro 35,2017- 7-3
31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 25 to 30,2017- 7-3
32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 30 to 40,2017- 7-3
33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 25 to 35,2017- 7-3
34,34,34,Kothamalli 1st Quality, 1 kattu, 100 to 120,2017- 7-3
35,35,35,Kothamalli 2nd Quality, 1 kattu, 90 to 110,2017- 7-3
36,36,36,Mullangi 1st Quality, 1, 25 to 30,2017- 7-3
37,37,37,Mullangi 2nd Quality, 1, 20 to 25,2017- 7-3
38,38,38,Inji/Ginger, 1, 60 to 80,2017- 7-3
39,39,39,Butter Beans, 1, 160,2017- 7-3
40,40,40,Mutta Kose, 1, 18 to 20,2017- 7-3
41,41,41,Pachai Pattani, 1, 180 to 280,2017- 7-3
42,42,42,Pakarkai, 1, 40,2017- 7-3
43,43,43,Nookal, 1, 40,2017- 7-3
44,44,44,Chaw Chaw, 1, 20,2017- 7-3
45,45,45,Kovakkai, 1, 20,2017- 7-3
46,46,46,Kothavarangai, 1, 25,2017- 7-3
47,47,47,Nellikai, 1, 45,2017- 7-3
48,48,48,Narthangai, 1, 40,2017- 7-3
49,49,49,Vellarikai, 1, 25 to 30,2017- 7-3
