,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,0,Lemon, 1, 60 to 70,2017- 9-6
1,1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 25 to 30,2017- 9-6
2,2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 20 to 25,2017- 9-6
3,3,3,3,3,3,3,Small Onion, 1, 70 to 80,2017- 9-6
4,4,4,4,4,4,4,Bellary (Big Onion), 1, 28 to 30,2017- 9-6
5,5,5,5,5,5,5,Beans 1st Quality, –, 50 to 55,2017- 9-6
6,6,6,6,6,6,6,Beans 2nd Quality, 1, 45 to 50,2017- 9-6
7,7,7,7,7,7,7,Carrot 1st Quality, 1, 40 to 45,2017- 9-6
8,8,8,8,8,8,8,Carrot 2nd Quality, 1, 35 to 40,2017- 9-6
9,9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 10 to 15,2017- 9-6
10,10,10,10,10,10,10,Maram Murungai, 1, 20,2017- 9-6
11,11,11,11,11,11,11,Chedi Murungai, 1, 30,2017- 9-6
12,12,12,12,12,12,12,Avarai Ottu, 1, 40 to 45,2017- 9-6
13,13,13,13,13,13,13,Pachai Payaru, 1, 20,2017- 9-6
14,14,14,14,14,14,14,Vellai Payaru, 1, 25,2017- 9-6
15,15,15,15,15,15,15,Suraikai, 1, 6,2017- 9-6
16,16,16,16,16,16,16,Beetroot, 1, 16 to 18,2017- 9-6
17,17,17,17,17,17,17,Sunami Sambar, 1, 15,2017- 9-6
18,18,18,18,18,18,18,Pusanikai, 1, 15,2017- 9-6
19,19,19,19,19,19,19,Kalla Manga/Mango, 1, 60,2017- 9-6
20,20,20,20,20,20,20,Orutu Manga/Mango, 1, –,2017- 9-6
21,21,21,21,21,21,21,Potato 1st Quality, 1, 18 to 20,2017- 9-6
22,22,22,22,22,22,22,Potato 2nd Quality, 1, 15,2017- 9-6
23,23,23,23,23,23,23,Coconut 1st Quality, –, 33,2017- 9-6
24,24,24,24,24,24,24,Coconut 2nd Quality, –, 28,2017- 9-6
25,25,25,25,25,25,25,Green Chilli, 1, 35 to 40,2017- 9-6
26,26,26,26,26,26,26,Cauliflower 1st Quality, –, 20,2017- 9-6
27,27,27,27,27,27,27,Cauliflower 2nd Quality, –, 15,2017- 9-6
28,28,28,28,28,28,28,Katharikai Pachai, 1, 20,2017- 9-6
29,29,29,29,29,29,29,Katharikai ootha, 1, 20,2017- 9-6
30,30,30,30,30,30,30,Valai Thar, –, 25,2017- 9-6
31,31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10 to 15,2017- 9-6
32,32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 20,2017- 9-6
33,33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 15,2017- 9-6
34,34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 50,2017- 9-6
35,35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 45,2017- 9-6
36,36,36,36,36,36,36,Mullangi 1st Quality, 1, 20,2017- 9-6
37,37,37,37,37,37,37,Mullangi 2nd Quality, 1, 15,2017- 9-6
38,38,38,38,38,38,38,Inji/Ginger, 1, 50,2017- 9-6
39,39,39,39,39,39,39,Butter Beans, 1, 160,2017- 9-6
40,40,40,40,40,40,40,Mutta Kose, 1, 15,2017- 9-6
41,41,41,41,41,41,41,Pachai Pattani, 1, 140,2017- 9-6
42,42,42,42,42,42,42,Pakarkai, 1, 25,2017- 9-6
43,43,43,43,43,43,43,Nookal, 1, 40,2017- 9-6
44,44,44,44,44,44,44,Chaw Chaw, 1, 20,2017- 9-6
45,45,45,45,45,45,45,Kovakkai, 1, 25,2017- 9-6
46,46,46,46,46,46,46,Kothavarangai, 1, 30,2017- 9-6
47,47,47,47,47,47,47,Nellikai, 1, 40,2017- 9-6
48,48,48,48,48,48,48,Narthangai, 1, 40,2017- 9-6
49,49,49,49,49,49,49,Vellarikai, 1, 25,2017- 9-6
