Commodity, Weight in Kg, Price in Rs
Lemon, 1, 60 to 70
Tomato/Thakkali 1st Quality, 1, 18 to 20
Tomato/Thakkali 2nd Quality, 1, 15
Small Onion, 1, 80 to 90
Bellary (Big Onion), 1, 25 to 30
Beans 1st Quality, –, 50 to 55
Beans 2nd Quality, 1, 45 to 50
Carrot 1st Quality, 1, 35 to 40
Carrot 2nd Quality, 1, 30 to 35
Vendai Kai/Lady Finger, 1, 10
Maram Murungai, 1, 80
Chedi Murungai, 1, 60 to 70
Avarai Ottu, 1, 37 to 55
Pachai Payaru, 1, 28
Vellai Payaru, 1, 35
Suraikai, 1, 6
Beetroot, 1, 24 to 26
Sunami Sambar, 1, 5
Pusanikai, 1, 12
Kalla Manga/Mango, 1, 80
Orutu Manga/Mango, 1, 65 to 90
Potato 1st Quality, 1, 15 to 20
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 40 to 42
Coconut 2nd Quality, –, 35
Green Chilli, 1, 28 to 33
Cauliflower 1st Quality, –, 25 to 30
Cauliflower 2nd Quality, –, 20 to 25
Katharikai Pachai, 1, 40 to 50
Katharikai ootha, 1, 35
Valai Thar, –, 26
Karuveppilai/Curry Leaf, 1 Kattu, 10
Pudalangai/Snake gourd 1st Quality, 1, 16
Pudalangai/Snake gourd 2nd Quality, 1, 11
Kothamalli 1st Quality, 1 kattu, 70 to 80
Kothamalli 2nd Quality, 1 kattu, 65 to 75
Mullangi 1st Quality, 1, 35
Mullangi 2nd Quality, 1, 30
Inji/Ginger, 1, 30 to 50
Butter Beans, 1, 120
Mutta Kose, 1, 30
Pachai Pattani, 1, 150
Pakarkai, 1, 25 to 28
Nookal, 1, 40
Chaw Chaw, 1, 8 to 10
Kovakkai, 1, 22 to 23
Kothavarangai, 1, 9 to 10
Nellikai, 1, 20 to 25
Narthangai, 1, 20 to 25
Vellarikai, 1, 23
