,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-10
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-10
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-10
3,Beans / பீன்ஸ், 1, 12,2013-12-10
4,Beetroot / பீட்ரூட், 1, 10,2013-12-10
5,Bellary / பெல்லாரி, 1, 50,2013-12-10
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-10
7,C Vengayam / சின்னவெங்காயம், 1, 50,2013-12-10
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-10
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-10
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-10
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-10
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-10
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-10
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-10
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-10
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-10
17,Nelli / நெல்லி, 1, 18,2013-12-10
18,Pavarkai / பாகற்காய், 1, 14,2013-12-10
19,Perkangkai / பீர்க்கங்காய், 1, 10,2013-12-10
20,Pudalai / புடலங்காய், 1, 03,2013-12-10
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-10
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-10
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-10
24,Thakkali / தக்காளி, 1, 10,2013-12-10
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-10
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 40,2013-11-11
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-11-11
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-11-11
3,Beans / பீன்ஸ், 1, 21,2013-11-11
4,Beetroot / பீட்ரூட், 1, 10,2013-11-11
5,Bellary / பெல்லாரி, 1, 55,2013-11-11
6,C Flower / காளிபிளவர், 1Flower, 15,2013-11-11
7,C Vengayam / சின்னவெங்காயம், 1, 72,2013-11-11
8,Chaw Chaw / சவ்சவ், 1, 12,2013-11-11
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-11-11
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-11-11
11,Kothavarai / கொத்தவரை, 1, 22,2013-11-11
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-11-11
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-11-11
14,Mullaingi / முள்ளங்கி, 1, 10,2013-11-11
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-11-11
16,Murungai Maram / முருங்கை(மரம்), 1, 34,2013-11-11
17,Nelli / நெல்லி, 1, 28,2013-11-11
18,Pavarkai / பாகற்காய், 1, 17,2013-11-11
19,Perkangkai / பீர்க்கங்காய், 1, 17,2013-11-11
20,Pudalai / புடலங்காய், 1, 9,2013-11-11
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-11-11
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-11-11
23,Suraikai / சுரைக்காய், 1, 3,2013-11-11
24,Thakkali / தக்காளி, 1, 20,2013-11-11
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-11-11
26,Vendai / வெண்டைக்காய், 1, 10,2013-11-11
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-11
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-11
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-11
3,Beans / பீன்ஸ், 1, 12,2013-12-11
4,Beetroot / பீட்ரூட், 1, 10,2013-12-11
5,Bellary / பெல்லாரி, 1, 50,2013-12-11
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-11
7,C Vengayam / சின்னவெங்காயம், 1, 50,2013-12-11
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-11
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-11
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-11
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-11
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-11
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-11
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-11
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-11
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-11
17,Nelli / நெல்லி, 1, 18,2013-12-11
18,Pavarkai / பாகற்காய், 1, 14,2013-12-11
19,Perkangkai / பீர்க்கங்காய், 1, 10,2013-12-11
20,Pudalai / புடலங்காய், 1, 03,2013-12-11
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-11
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-11
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-11
24,Thakkali / தக்காளி, 1, 10,2013-12-11
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-11
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-11
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-1
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-1
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-1
3,Beans / பீன்ஸ், 1, 12,2013-12-1
4,Beetroot / பீட்ரூட், 1, 10,2013-12-1
5,Bellary / பெல்லாரி, 1, 60,2013-12-1
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-1
7,C Vengayam / சின்னவெங்காயம், 1, 70,2013-12-1
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-1
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-1
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-1
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-1
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-1
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-1
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-1
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-1
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-1
17,Nelli / நெல்லி, 1, 18,2013-12-1
18,Pavarkai / பாகற்காய், 1, 14,2013-12-1
19,Perkangkai / பீர்க்கங்காய், 1, 14,2013-12-1
20,Pudalai / புடலங்காய், 1, 03,2013-12-1
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-1
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-1
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-1
24,Thakkali / தக்காளி, 1, 15,2013-12-1
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-1
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-1
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 40,2013-11-12
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-11-12
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-11-12
3,Beans / பீன்ஸ், 1, 21,2013-11-12
4,Beetroot / பீட்ரூட், 1, 10,2013-11-12
5,Bellary / பெல்லாரி, 1, 55,2013-11-12
6,C Flower / காளிபிளவர், 1Flower, 15,2013-11-12
7,C Vengayam / சின்னவெங்காயம், 1, 72,2013-11-12
8,Chaw Chaw / சவ்சவ், 1, 12,2013-11-12
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-11-12
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-11-12
11,Kothavarai / கொத்தவரை, 1, 22,2013-11-12
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-11-12
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-11-12
14,Mullaingi / முள்ளங்கி, 1, 10,2013-11-12
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-11-12
16,Murungai Maram / முருங்கை(மரம்), 1, 34,2013-11-12
17,Nelli / நெல்லி, 1, 28,2013-11-12
18,Pavarkai / பாகற்காய், 1, 17,2013-11-12
19,Perkangkai / பீர்க்கங்காய், 1, 17,2013-11-12
20,Pudalai / புடலங்காய், 1, 9,2013-11-12
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-11-12
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-11-12
23,Suraikai / சுரைக்காய், 1, 3,2013-11-12
24,Thakkali / தக்காளி, 1, 20,2013-11-12
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-11-12
26,Vendai / வெண்டைக்காய், 1, 10,2013-11-12
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-12
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-12
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-12
3,Beans / பீன்ஸ், 1, 12,2013-12-12
4,Beetroot / பீட்ரூட், 1, 10,2013-12-12
5,Bellary / பெல்லாரி, 1, 50,2013-12-12
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-12
7,C Vengayam / சின்னவெங்காயம், 1, 50,2013-12-12
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-12
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-12
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-12
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-12
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-12
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-12
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-12
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-12
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-12
17,Nelli / நெல்லி, 1, 18,2013-12-12
18,Pavarkai / பாகற்காய், 1, 14,2013-12-12
19,Perkangkai / பீர்க்கங்காய், 1, 10,2013-12-12
20,Pudalai / புடலங்காய், 1, 03,2013-12-12
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-12
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-12
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-12
24,Thakkali / தக்காளி, 1, 10,2013-12-12
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-12
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-12
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 40,2013-11-13
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-11-13
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-11-13
3,Beans / பீன்ஸ், 1, 21,2013-11-13
4,Beetroot / பீட்ரூட், 1, 10,2013-11-13
5,Bellary / பெல்லாரி, 1, 55,2013-11-13
6,C Flower / காளிபிளவர், 1Flower, 15,2013-11-13
7,C Vengayam / சின்னவெங்காயம், 1, 72,2013-11-13
8,Chaw Chaw / சவ்சவ், 1, 12,2013-11-13
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-11-13
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-11-13
11,Kothavarai / கொத்தவரை, 1, 22,2013-11-13
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-11-13
