,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Lemon/எலுமிச்சை,1, 25 to 30,2017-11-15
1,1,Tomato/தக்காளி 1st Quality,1, 35 to 40,2017-11-15
2,2,Tomato/தக்காளி 2nd Quality,1, 30 to 35,2017-11-15
3,3,Small Onion/சிறிய வெங்காயம்,1, 110 to 150,2017-11-15
4,4,Bellary/பெல்லாரி,1, 38 to 40,2017-11-15
5,5,Beans/பீன்ஸ் 1st Quality,1, 33 to 40,2017-11-15
6,6,Beans/பீன்ஸ் 2nd Quality,1, 27 to 35,2017-11-15
7,7,Carrot/கேரட் 1st Quality,1, 60 to 70,2017-11-15
8,8,Carrot/கேரட் 2nd Quality,1, 55 to 65,2017-11-15
9,9,Lady Finger/வெண்டைக்காய்,1, 18,2017-11-15
10,10,Tree Drumstick/மரம் முருங்கை,1, 40,2017-11-15
11,11,Plant Drumstick/செடி முருங்கை,1, 60,2017-11-15
12,12,Beans/அவரை ஒட்டு,1, 27,2017-11-15
13,13,Green Pulses/பச்சை பயிறு,1, 16,2017-11-15
14,14,White Pulses/வெள்ளை பயிறு,1, 14,2017-11-15
15,15,Zucchini/சுரைக்காய்,1, 3 .50,2017-11-15
16,16,Beetroot/பீட்ரூட்,1, 25,2017-11-15
17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 5 to 7,2017-11-15
18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 4 to 5,2017-11-15
19,19,Kalla Manga/கள்ள மாங்காய்,1, 75,2017-11-15
20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 60,2017-11-15
21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017-11-15
22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-11-15
23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 44,2017-11-15
24,24,Coconut/தேங்காய் 2nd Quality,1, 35,2017-11-15
25,25,Green Chilli/பச்சை மிளகாய்,1, 24 to 38,2017-11-15
26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 25 to 30,2017-11-15
27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 20 to 25,2017-11-15
28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017-11-15
29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 20,2017-11-15
30,30,Banana Thar/வாழை தார்,1, 23 to 24,2017-11-15
31,31,Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017-11-15
32,32,Gourd/புடலங்காய் 1st Quality,1, 10,2017-11-15
33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-11-15
34,34,Coriander/கொத்தமல்லி 1st Quality,1, 30 to 40,2017-11-15
35,35,Coriander/கொத்தமல்லி 2nd Quality,1, 25 to 35,2017-11-15
36,36,Radish/முள்ளங்கி 1st Quality,1, 35 to 40,2017-11-15
37,37,Radish/முள்ளங்கி 2nd Quality,1, 30 to 35,2017-11-15
38,38,Ginger/இஞ்சி,1, 25 to 30,2017-11-15
39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 100,2017-11-15
40,40,Cabbage/முட்டை கோஸ்,1, 30 to 35,2017-11-15
41,41,Green Peas/பச்சை பட்டாணி,1, 100,2017-11-15
42,42,Bitter Gourd/பாகற்காய்,1, 15 to 18,2017-11-15
43,43,Nookal/நூக்கல்,1, 20,2017-11-15
44,44,Chaw Chaw/சவ்சவ்,1, 9 to 7,2017-11-15
45,45,Kovakkai/கோவக்காய்,1, 35,2017-11-15
46,46,Cluster Beans/கொத்தவரங்காய்,1, 8 to 19,2017-11-15
47,47,Gooseberry/நெல்லிக்காய்,1, 20,2017-11-15
48,48,Narthangai/நார்த்தங்காய்,1, 20,2017-11-15
49,49,Cucumber/வெள்ளரிக்காய்,1, 29 to 32,2017-11-15
50,50,Garlic/வெள்ளை பூண்டு,1, 130,2017-11-15
51,51,Gourd/பீர்க்கங்காய்,1, 15,2017-11-15
52,52,Small Tuber/சிறு கிழங்கு,1, 30,2017-11-15
53,53,Colocasia/சேப்பங்கிழங்கு,1, 30,2017-11-15
54,54,Soya beans/சோயா பீன்ஸ்,1, 100,2017-11-15
55,55,Butter Soya/பட்டர் சோயா,1, –,2017-11-15
56,56,Senai Kilangu/சேனை கிழங்கு,1, 35,2017-11-15
57,57,Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017-11-15
58,58,Drumstick beans/முருங்கை பீன்ஸ்,1, 45,2017-11-15
59,59,Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017-11-15
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon/எலுமிச்சை,1, 20 to 35,2017-12-02
1,1,1,Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-02
2,2,2,Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-02
3,3,3,Small Onion/சிறிய வெங்காயம்,1, 100 to 110,2017-12-02
4,4,4,Bellary/பெல்லாரி,1, 40 to 45,2017-12-02
5,5,5,Beans/பீன்ஸ் 1st Quality,1, 12 to 25,2017-12-02
6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 15,2017-12-02
7,7,7,Carrot/கேரட் 1st Quality,1, 30 to 50,2017-12-02
8,8,8,Carrot/கேரட் 2nd Quality,1, 25 to 45,2017-12-02
9,9,9,Lady Finger/வெண்டைக்காய்,1, 7,2017-12-02
10,10,10,Tree Drumstick/மரம் முருங்கை,1, 70,2017-12-02
11,11,11,Plant Drumstick/செடி முருங்கை,1, 100,2017-12-02
12,12,12,Beans/அவரை ஒட்டு,1, 8 to 30,2017-12-02
13,13,13,Green Pulses/பச்சை பயிறு,1, 7,2017-12-02
14,14,14,White Pulses/வெள்ளை பயிறு,1, 10,2017-12-02
15,15,15,Zucchini/சுரைக்காய்,1, 1.50,2017-12-02
16,16,16,Beetroot/பீட்ரூட்,1, 12,2017-12-02
17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 5,2017-12-02
18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017-12-02
19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 75,2017-12-02
20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 75,2017-12-02
21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 18,2017-12-02
22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-02
23,23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017-12-02
24,24,24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017-12-02
25,25,25,Green Chilli/பச்சை மிளகாய்,1, 12 to 22,2017-12-02
26,26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 15,2017-12-02
27,27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2017-12-02
28,28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017-12-02
29,29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 20,2017-12-02
30,30,30,Banana Thar/வாழை தார்,1, 20 to 24,2017-12-02
31,31,31,Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017-12-02
32,32,32,Gourd/புடலங்காய் 1st Quality,1, 3,2017-12-02
33,33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-02
34,34,34,Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2017-12-02
35,35,35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-02
36,36,36,Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017-12-02
37,37,37,Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017-12-02
38,38,38,Ginger/இஞ்சி,1, 25 to 30,2017-12-02
39,39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017-12-02
40,40,40,Cabbage/முட்டை கோஸ்,1, 15 to 30,2017-12-02
41,41,41,Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017-12-02
42,42,42,Bitter Gourd/பாகற்காய்,1, 10 to 15,2017-12-02
43,43,43,Nookal/நூக்கல்,1, 20 to 25,2017-12-02
44,44,44,Chaw Chaw/சவ்சவ்,1, 4 to 6,2017-12-02
45,45,45,Kovakkai/கோவக்காய்,1, 15,2017-12-02
46,46,46,Cluster Beans/கொத்தவரங்காய்,1, 10 to 12,2017-12-02
47,47,47,Gooseberry/நெல்லிக்காய்,1, 20 to 28,2017-12-02
48,48,48,Narthangai/நார்த்தங்காய்,1, 25 to 30,2017-12-02
49,49,49,Cucumber/வெள்ளரிக்காய்,1, 20,2017-12-02
50,50,50,Garlic/வெள்ளை பூண்டு,1, 100 to 140,2017-12-02
51,51,51,Gourd/பீர்க்கங்காய்,1, 10 to 12,2017-12-02
52,52,52,Small Tuber/சிறு கிழங்கு,1, 30,2017-12-02
53,53,53,Colocasia/சேப்பங்கிழங்கு,1, 28,2017-12-02
