,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 26,2013-11-10
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 36,2013-11-10
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-11-10
3,SnakeGuard/புடலங்காய், 1, 18,2013-11-10
4,BitterGourd/பாகற்காய், 1, 34,2013-11-10
5,Bottlegourd/சுரைக்காய், 1, 12,2013-11-10
6,Pumpkin/பூசணிக்காய், 1, 14,2013-11-10
7,Bean/அவரை, 1, 48,2013-11-10
8,ClusterBeans/கொத்தவரை, 1, 20,2013-11-10
9,Red Chillies/குண்டு மிளகாய், 1, 36,2013-11-10
10,Onion/வெங்காயம், 1, 74,2013-11-10
11,Pallari/பல்லாரி, 1, 64,2013-11-10
12,Ginger/இஞ்சி, 1, 90,2013-11-10
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-11-10
14,Radish/முள்ளங்கி, 1, 18,2013-11-10
15,Mango/மாங்காய், 1, 50,2013-11-10
16,Cabbage/முட்டைக்கோஸ், 1, 24,2013-11-10
17,Carrot/கேரட், 1, 34,2013-11-10
18,Beetroot/பீட்ரூட், 1, 28,2013-11-10
19,Soybeans/சோயாபீன்ஸ், 1, 70,2013-11-10
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 50,2013-11-10
21,butterbeans/பட்டர்பீன்ஸ், 1, 85,2013-11-10
22,Banana nut/வாழைக்காய், 1 piece, 03,2013-11-10
23,Banana stem/வாழைத்தண்டு, 1, 8,2013-11-10
24,BananaFlower/வாழைப்பூ, 1, 8,2013-11-10
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-10
26,Coriander leaves/மல்லி இலை, 1, 50,2013-11-10
27,Mint/புதினா, 1, 30,2013-11-10
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-11-10
29,Garlic/பூண்டு, 1, 100 to 130,2013-11-10
30,ButtonMushrooms/ பட்டன்காளான், 1, 185,2013-11-10
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-10
32,SavSav/ சவ்சவ், 1, 24,2013-11-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 34,2013-12-10
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 20,2013-12-10
2,LadyFinger/வெண்டைக்காய், 1, 22,2013-12-10
3,SnakeGuard/புடலங்காய், 1, 20,2013-12-10
4,BitterGourd/பாகற்காய், 1, 24,2013-12-10
5,Bottlegourd/சுரைக்காய், 1, 12,2013-12-10
6,Pumpkin/பூசணிக்காய், 1, 14,2013-12-10
7,Bean/அவரை, 1, 42,2013-12-10
8,ClusterBeans/கொத்தவரை, 1, 20,2013-12-10
9,Red Chillies/குண்டு மிளகாய், 1, 32,2013-12-10
10,Onion/வெங்காயம், 1, 60,2013-12-10
11,Pallari/பல்லாரி, 1, 40,2013-12-10
12,Ginger/இஞ்சி, 1, 90,2013-12-10
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-12-10
14,Radish/முள்ளங்கி, 1, 16,2013-12-10
15,Mango/மாங்காய், 1, 40,2013-12-10
16,Cabbage/முட்டைக்கோஸ், 1, 20,2013-12-10
17,Carrot/கேரட், 1, 30,2013-12-10
18,Beetroot/பீட்ரூட், 1, 20,2013-12-10
19,Soybeans/சோயாபீன்ஸ், 1, 65,2013-12-10
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 28,2013-12-10
21,butterbeans/பட்டர்பீன்ஸ், 1, 75,2013-12-10
22,Banana nut/வாழைக்காய், 1 piece, 02,2013-12-10
23,Banana stem/வாழைத்தண்டு, 1, 10,2013-12-10
24,BananaFlower/வாழைப்பூ, 1, 10,2013-12-10
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-12-10
26,Coriander leaves/மல்லி இலை, 1, 30,2013-12-10
27,Mint/புதினா, 1, 30,2013-12-10
28,GreensLeaves/கீரைக்கட்டு, 1, 10,2013-12-10
29,Garlic/பூண்டு, 1, 90 to 140,2013-12-10
30,ButtonMushrooms/ பட்டன்காளான், 1, 180,2013-12-10
31,Papaya/ பப்பாளிப்பழம், 1, 24,2013-12-10
32,SavSav/ சவ்சவ், 1, 20,2013-12-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 26,2013-11-11
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 36,2013-11-11
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-11-11
3,SnakeGuard/புடலங்காய், 1, 20,2013-11-11
4,BitterGourd/பாகற்காய், 1, 34,2013-11-11
5,Bottlegourd/சுரைக்காய், 1, 12,2013-11-11
6,Pumpkin/பூசணிக்காய், 1, 14,2013-11-11
7,Bean/அவரை, 1, 46,2013-11-11
8,ClusterBeans/கொத்தவரை, 1, 16,2013-11-11
9,Red Chillies/குண்டு மிளகாய், 1, 32,2013-11-11
10,Onion/வெங்காயம், 1, 70,2013-11-11
11,Pallari/பல்லாரி, 1, 60,2013-11-11
12,Ginger/இஞ்சி, 1, 80,2013-11-11
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-11-11
14,Radish/முள்ளங்கி, 1, 16,2013-11-11
15,Mango/மாங்காய், 1, 70,2013-11-11
16,Cabbage/முட்டைக்கோஸ், 1, 20,2013-11-11
17,Carrot/கேரட், 1, 30,2013-11-11
18,Beetroot/பீட்ரூட், 1, 18,2013-11-11
19,Soybeans/சோயாபீன்ஸ், 1, 70,2013-11-11
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 42,2013-11-11
21,butterbeans/பட்டர்பீன்ஸ், 1, 80,2013-11-11
22,Banana nut/வாழைக்காய், 1 piece, 03,2013-11-11
23,Banana stem/வாழைத்தண்டு, 1, 7,2013-11-11
24,BananaFlower/வாழைப்பூ, 1, 7,2013-11-11
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-11
26,Coriander leaves/மல்லி இலை, 1, 40,2013-11-11
27,Mint/புதினா, 1, 30,2013-11-11
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-11-11
29,Garlic/பூண்டு, 1, 100 to 130,2013-11-11
30,ButtonMushrooms/ பட்டன்காளான், 1, 185,2013-11-11
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-11
32,SavSav/ சவ்சவ், 1, 24,2013-11-11
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 36,2013-12-11
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 20,2013-12-11
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-12-11
3,SnakeGuard/புடலங்காய், 1, 18,2013-12-11
4,BitterGourd/பாகற்காய், 1, 24,2013-12-11
5,Bottlegourd/சுரைக்காய், 1, 10,2013-12-11
6,Pumpkin/பூசணிக்காய், 1, 14,2013-12-11
7,Bean/அவரை, 1, 30,2013-12-11
8,ClusterBeans/கொத்தவரை, 1, 20,2013-12-11
9,Red Chillies/குண்டு மிளகாய், 1, 30,2013-12-11
10,Onion/வெங்காயம், 1, 50,2013-12-11
11,Pallari/பல்லாரி, 1, 35,2013-12-11
12,Ginger/இஞ்சி, 1, 90,2013-12-11
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-12-11
14,Radish/முள்ளங்கி, 1, 18,2013-12-11
15,Mango/மாங்காய், 1, 40,2013-12-11
16,Cabbage/முட்டைக்கோஸ், 1, 18,2013-12-11
17,Carrot/கேரட், 1, 30,2013-12-11
18,Beetroot/பீட்ரூட், 1, 20,2013-12-11
19,Soybeans/சோயாபீன்ஸ், 1, 70,2013-12-11
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 32,2013-12-11
21,butterbeans/பட்டர்பீன்ஸ், 1, 64,2013-12-11
22,Banana nut/வாழைக்காய், 1 piece, 04,2013-12-11
23,Banana stem/வாழைத்தண்டு, 1, 7,2013-12-11
24,BananaFlower/வாழைப்பூ, 1, 7,2013-12-11
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-12-11
26,Coriander leaves/மல்லி இலை, 1, 40,2013-12-11
27,Mint/புதினா, 1, 30,2013-12-11
28,GreensLeaves/கீரைக்கட்டு, 1, 10,2013-12-11
29,Garlic/பூண்டு, 1, 80 to 120,2013-12-11
30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2013-12-11
31,Papaya/ பப்பாளிப்பழம், 1, 26,2013-12-11
32,SavSav/ சவ்சவ், 1, 24,2013-12-11
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 32,2013-2-11
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 25,2013-2-11
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-2-11
3,SnakeGuard/புடலங்காய், 1, 22,2013-2-11
4,BitterGourd/பாகற்காய், 1, 24,2013-2-11
5,Bottlegourd/சுரைக்காய், 1, 12,2013-2-11
6,Pumpkin/பூசணிக்காய், 1, 14,2013-2-11
7,Bean/அவரை, 1, 32,2013-2-11
8,ClusterBeans/கொத்தவரை, 1, 16,2013-2-11
9,Red Chillies/குண்டு மிளகாய், 1, 30,2013-2-11
10,Onion/வெங்காயம், 1, 60,2013-2-11
11,Pallari/பல்லாரி, 1, 40,2013-2-11
12,Ginger/இஞ்சி, 1, 80,2013-2-11
13,Potato/உருளைக்கிழங்கு, 1, 26,2013-2-11
14,Radish/முள்ளங்கி, 1, 14,2013-2-11
