,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 24,2015-10-10
1,Tomotto ottu / Thakkali Ottu, 1, 20,2015-10-10
2,Lady’s Finger / Venda Kai, 1, 30,2015-10-10
3,Snake Guard / Pudalai, 1, 14,2015-10-10
4,Bitter Gourd / Pakar kai, 1, 26,2015-10-10
5,Bottle gourd / Sura kai, 1, 8,2015-10-10
6,Pumpkin / Pusani kai, 1, 14,2015-10-10
7,Beans / Avarai Kai, 1, 34,2015-10-10
8,Cluster Beans / Kothavarai, 1, 16,2015-10-10
9,Red Chilies / Kundu Milagai, 1, 30,2015-10-10
10,Small Onion / Chinna Vengayam, 1, 40,2015-10-10
11,Big Onion / Pallari, 1, 44,2015-10-10
12,Ginger /  Inji, 1, –,2015-10-10
13,Potato / Urulai Kelangu, 1, 24,2015-10-10
14,Radish / Mulangi, 1, 16,2015-10-10
15,Mango / Maa, 1, –,2015-10-10
16,Cabbage / Mutta Kose, 1, 20,2015-10-10
17,Carrot, 1, 36,2015-10-10
18,Beetroot, 1, 14,2015-10-10
19,Soya Beans, 1, 80,2015-10-10
20,Drumstick Beans / Murungai Beans, 1, 36,2015-10-10
21,Butter beans, 1, –,2015-10-10
22,Banana nut / Vala kai, 1 piece, 4,2015-10-10
23,Banana stem / Vala Thandu, 1, 12,2015-10-10
24,Banana Flower / Vala Poo, 1, 10,2015-10-10
25,Curry leaves / Karu Vepilai, 1, 20,2015-10-10
26,Coriander leaves / Malli Ilai, 1, 35,2015-10-10
27,Mint / Puthina, 1, 30,2015-10-10
28,Greens Leaves / Keerai Kattu, 1, 12,2015-10-10
29,Garlic / Poondu, 1, 100,2015-10-10
30,Button Mushrooms / Button Kaalan, 1, 200,2015-10-10
31,Papaya / Papali, 1, 20,2015-10-10
32,Sav Sav, 1, 14,2015-10-10
33,Sapotta, 1, 24,2015-10-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 18,2015-11-10
1,Tomotto ottu / Thakkali Ottu, 1, 50,2015-11-10
2,Lady’s Finger / Venda Kai, 1, 26,2015-11-10
3,Snake Guard / Pudalai, 1, 18,2015-11-10
4,Bitter Gourd / Pakar kai, 1, 28,2015-11-10
5,Bottle gourd / Sura kai, 1, 8,2015-11-10
6,Pumpkin / Pusani kai, 1, 20,2015-11-10
7,Beans / Avarai Kai, 1, 36,2015-11-10
8,Cluster Beans / Kothavarai, 1, 20,2015-11-10
9,Red Chilies / Kundu Milagai, 1, 30,2015-11-10
10,Small Onion / Chinna Vengayam, 1, 48,2015-11-10
11,Big Onion / Pallari, 1, 40,2015-11-10
12,Ginger /  Inji, 1, –,2015-11-10
13,Potato / Urulai Kelangu, 1, 26,2015-11-10
14,Radish / Mulangi, 1, 20,2015-11-10
15,Mango / Maa, 1, –,2015-11-10
16,Cabbage / Mutta Kose, 1, 18,2015-11-10
17,Carrot, 1, 30,2015-11-10
18,Beetroot, 1, 16,2015-11-10
19,Soya Beans, 1, 60,2015-11-10
20,Drumstick Beans / Murungai Beans, 1, 30,2015-11-10
21,Butter beans, 1, –,2015-11-10
22,Banana nut / Vala kai, 1 piece, 4,2015-11-10
23,Banana stem / Vala Thandu, 1, 12,2015-11-10
24,Banana Flower / Vala Poo, 1, 10,2015-11-10
25,Curry leaves / Karu Vepilai, 1, 20,2015-11-10
26,Coriander leaves / Malli Ilai, 1, 25,2015-11-10
27,Mint / Puthina, 1, 25,2015-11-10
28,Greens Leaves / Keerai Kattu, 1, 12,2015-11-10
29,Garlic / Poondu, 1, 100,2015-11-10
30,Button Mushrooms / Button Kaalan, 1, 200,2015-11-10
31,Papaya / Papali, 1, 20,2015-11-10
32,Sav Sav, 1, 20,2015-11-10
33,Sapotta, 1, 20,2015-11-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 36,2015-1-10
1,Tomotto ottu, 1, 14,2015-1-10
2,Ladys Finger, 1, 26,2015-1-10
3,Snake Guard, 1, 18,2015-1-10
4,Bitter Gourd, 1, 24,2015-1-10
5,Bottle gourd, 1, 10,2015-1-10
6,Pumpkin, 1, 18,2015-1-10
7,Bean, 1, 26,2015-1-10
8,Cluster Beans, 1, 16,2015-1-10
9,Red Chilies, 1, 36,2015-1-10
10,Onion, 1, 24,2015-1-10
11,Pallari, 1, 28,2015-1-10
12,Ginger, 1, –,2015-1-10
13,Potato, 1, 26,2015-1-10
14,Radish, 1, 12,2015-1-10
15,Mango, 1, –,2015-1-10
16,Cabbage, 1, 24,2015-1-10
17,Carrot, 1, 24,2015-1-10
18,Beetroot, 1, 26,2015-1-10
19,Soybeans, 1, 84,2015-1-10
20,Drumstick beans, 1, 40,2015-1-10
21,butter beans, 1, –,2015-1-10
22,Banana nut, 1 piece, 4,2015-1-10
23,Banana stem, 1, 10,2015-1-10
24,Banana Flower, 1, 8,2015-1-10
25,Curry leaves, 1, 10,2015-1-10
26,Coriander leaves, 1, 20,2015-1-10
27,Mint, 1, 15,2015-1-10
28,Greens Leaves, 1, 10,2015-1-10
29,Garlic, 1, 120-140,2015-1-10
30,Button Mushrooms, 1, 194,2015-1-10
31,Papaya, 1, 20,2015-1-10
32,SavSav, 1, 20,2015-1-10
33,Sapotta, 1, 24,2015-1-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 80,2015-12-10
1,Tomotto ottu / Thakkali Ottu, 1, 26,2015-12-10
2,Lady’s Finger / Venda Kai, 1, 30,2015-12-10
3,Snake Guard / Pudalai, 1, 32,2015-12-10
4,Bitter Gourd / Pakar kai, 1, 42,2015-12-10
5,Bottle gourd / Sura kai, 1, 10,2015-12-10
6,Pumpkin / Pusani kai, 1, 15,2015-12-10
7,Beans / Avarai Kai, 1, 65,2015-12-10
8,Cluster Beans / Kothavarai, 1, 30,2015-12-10
9,Red Chilies / Kundu Milagai, 1, 60,2015-12-10
10,Small Onion / Chinna Vengayam, 1, 58,2015-12-10
11,Big Onion / Pallari, 1, 34,2015-12-10
12,Ginger /  Inji, 1, –,2015-12-10
13,Potato / Urulai Kelangu, 1, 32,2015-12-10
14,Radish / Mulangi, 1, 30,2015-12-10
15,Mango / Maa, 1, –,2015-12-10
16,Cabbage / Mutta Kose, 1, 26,2015-12-10
17,Carrot, 1, 44,2015-12-10
18,Beetroot, 1, 24,2015-12-10
19,Soya Beans, 1, 80,2015-12-10
20,Drumstick Beans / Murungai Beans, 1, 60,2015-12-10
21,Butter beans, 1, –,2015-12-10
22,Banana nut / Vala kai, 1 piece, 5,2015-12-10
23,Banana stem / Vala Thandu, 1, 12,2015-12-10
24,Banana Flower / Vala Poo, 1, 10,2015-12-10
25,Curry leaves / Karu Vepilai, 1, 20,2015-12-10
26,Coriander leaves / Malli Ilai, 1, 20,2015-12-10
27,Mint / Puthina, 1, 30,2015-12-10
28,Greens Leaves / Keerai Kattu, 1, 10,2015-12-10
29,Garlic / Poondu, 1, –,2015-12-10
30,Button Mushrooms / Button Kaalan, 1, 200,2015-12-10
31,Papaya / Papali, 1, 20,2015-12-10
32,Sav Sav, 1, 26,2015-12-10
33,Sapotta, 1, 20,2015-12-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 26,2015-2-10
1,Tomotto ottu, 1, 13,2015-2-10
2,Ladys Finger, 1, 18,2015-2-10
3,Snake Guard, 1, 10,2015-2-10
4,Bitter Gourd, 1, 16,2015-2-10
5,Bottle gourd, 1, 8,2015-2-10
6,Pumpkin, 1, 15,2015-2-10
7,Bean, 1, 20,2015-2-10
8,Cluster Beans, 1, 16,2015-2-10
9,Red Chilies, 1, 22,2015-2-10
10,Onion, 1, 30,2015-2-10
11,Pallari, 1, 28,2015-2-10
12,Ginger, 1, –,2015-2-10
13,Potato, 1, 26,2015-2-10
14,Radish, 1, 10,2015-2-10
15,Mango, 1, –,2015-2-10
16,Cabbage, 1, 26,2015-2-10
17,Carrot, 1, 40,2015-2-10
18,Beetroot, 1, 24,2015-2-10
19,Soybeans, 1, 80,2015-2-10
20,Drumstick beans, 1, 26,2015-2-10
21,butter beans, 1, –,2015-2-10
22,Banana nut, 1 piece, 4,2015-2-10
23,Banana stem, 1, 8,2015-2-10
24,Banana Flower, 1, 6,2015-2-10
25,Curry leaves, 1, 30,2015-2-10
26,Coriander leaves, 1, 20,2015-2-10
27,Mint, 1, 25,2015-2-10
28,Greens Leaves, 1, 10,2015-2-10
29,Garlic, 1, 100-160,2015-2-10
30,Button Mushrooms, 1, 180,2015-2-10
31,Papaya, 1, 20,2015-2-10
32,SavSav, 1, 24,2015-2-10
33,Sapotta, 1, 25,2015-2-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 20,2015-3-10
1,Tomotto ottu, 1, 6,2015-3-10
2,Ladys Finger, 1, 16,2015-3-10
3,Snake Guard, 1, 12,2015-3-10
4,Bitter Gourd, 1, 14,2015-3-10
5,Bottle gourd, 1, 8,2015-3-10
6,Pumpkin, 1, 14,2015-3-10
7,Bean, 1, 20,2015-3-10
8,Cluster Beans, 1, 16,2015-3-10
9,Red Chilies, 1, 18,2015-3-10
10,Onion, 1, 24,2015-3-10
11,Pallari, 1, 24,2015-3-10
12,Ginger, 1, –,2015-3-10
13,Potato, 1, 26,2015-3-10
14,Radish, 1, 10,2015-3-10
15,Mango, 1, –,2015-3-10
16,Cabbage, 1, 18,2015-3-10
17,Carrot, 1, 30,2015-3-10
18,Beetroot, 1, 20,2015-3-10
19,Soybeans, 1, 80,2015-3-10
20,Drumstick beans, 1, 30,2015-3-10
21,butter beans, 1, –,2015-3-10
22,Banana nut, 1 piece, 4,2015-3-10
23,Banana stem, 1, 10,2015-3-10
24,Banana Flower, 1, 12,2015-3-10
25,Curry leaves, 1, 25,2015-3-10
26,Coriander leaves, 1, 25,2015-3-10
27,Mint, 1, 20,2015-3-10
28,Greens Leaves, 1, 12,2015-3-10
29,Garlic, 1, 120-180,2015-3-10
30,Button Mushrooms, 1, 194,2015-3-10
31,Papaya, 1, 20,2015-3-10
32,SavSav, 1, 16,2015-3-10
33,Sapotta, 1, 20,2015-3-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 16,2015-4-10
1,Tomotto ottu, 1, 14,2015-4-10
2,Ladys Finger, 1, 24,2015-4-10
3,Snake Guard, 1, 14,2015-4-10
4,Bitter Gourd, 1, 16,2015-4-10
5,Bottle gourd, 1, 8,2015-4-10
6,Pumpkin, 1, 14,2015-4-10
7,Bean, 1, 36,2015-4-10
8,Cluster Beans, 1, 14,2015-4-10
9,Red Chilies, 1, 18,2015-4-10
10,Onion, 1, 20,2015-4-10
11,Pallari, 1, 24,2015-4-10
12,Ginger, 1, –,2015-4-10
13,Potato, 1, 20,2015-4-10
14,Radish, 1, 12,2015-4-10
15,Mango, 1, –,2015-4-10
16,Cabbage, 1, 16,2015-4-10
17,Carrot, 1, 30,2015-4-10
