,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 60,2017-1-10
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 10,2017-1-10
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 34,2017-1-10
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 16,2017-1-10
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 36,2017-1-10
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-10
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 20,2017-1-10
7,7,7,7,7,7,Beans / Avarai Kai, 1, 34,2017-1-10
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017-1-10
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-10
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 18,2017-1-10
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-10
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-10
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 26,2017-1-10
14,14,14,14,14,14,Radish / Mulangi, 1, 16,2017-1-10
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-10
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-10
17,17,17,17,17,17,Carrot, 1, 20,2017-1-10
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-10
19,19,19,19,19,19,Soya Beans, 1, 120,2017-1-10
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-10
21,21,21,21,21,21,Butter beans, 1, –,2017-1-10
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 5,2017-1-10
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-10
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-10
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-10
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-10
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-10
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-10
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-10
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-10
31,31,31,31,31,31,Papaya / Papali, 1, 25,2017-1-10
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-10
33,33,33,33,33,33,Sapotta, 1, –,2017-1-10
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-10
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 56,2017- 1-1
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 10,2017- 1-1
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017- 1-1
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 18,2017- 1-1
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 24,2017- 1-1
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017- 1-1
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 20,2017- 1-1
7,7,7,7,7,7,Beans / Avarai Kai, 1, 32,2017- 1-1
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017- 1-1
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 70,2017- 1-1
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 20,2017- 1-1
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017- 1-1
12,12,12,12,12,12,Ginger / Inji, 1, –,2017- 1-1
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017- 1-1
14,14,14,14,14,14,Radish / Mulangi, 1, 18,2017- 1-1
15,15,15,15,15,15,Mango / Maa, 1, –,2017- 1-1
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 10,2017- 1-1
17,17,17,17,17,17,Carrot, 1, 26,2017- 1-1
18,18,18,18,18,18,Beetroot, 1, 22,2017- 1-1
19,19,19,19,19,19,Soya Beans, 1, 130,2017- 1-1
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017- 1-1
21,21,21,21,21,21,Butter beans, 1, –,2017- 1-1
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 5,2017- 1-1
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017- 1-1
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017- 1-1
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017- 1-1
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, 15,2017- 1-1
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017- 1-1
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017- 1-1
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017- 1-1
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017- 1-1
31,31,31,31,31,31,Papaya / Papali, 1, 25,2017- 1-1
32,32,32,32,32,32,Sav Sav, 1, 18,2017- 1-1
33,33,33,33,33,33,Sapotta, 1, –,2017- 1-1
34,34,34,34,34,34,Puli / Tamarind, 1, 90,2017- 1-1
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 58,2017-1-13
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 10,2017-1-13
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 34,2017-1-13
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 16,2017-1-13
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 36,2017-1-13
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-13
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 20,2017-1-13
7,7,7,7,7,7,Beans / Avarai Kai, 1, 36,2017-1-13
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017-1-13
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-13
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 18,2017-1-13
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-13
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-13
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 26,2017-1-13
14,14,14,14,14,14,Radish / Mulangi, 1, 16,2017-1-13
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-13
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-13
17,17,17,17,17,17,Carrot, 1, 20,2017-1-13
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-13
19,19,19,19,19,19,Soya Beans, 1, 120,2017-1-13
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-13
21,21,21,21,21,21,Butter beans, 1, –,2017-1-13
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 5,2017-1-13
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-13
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-13
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-13
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-13
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-13
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-13
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-13
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-13
31,31,31,31,31,31,Papaya / Papali, 1, 25,2017-1-13
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-13
33,33,33,33,33,33,Sapotta, 1, –,2017-1-13
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-13
