,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,1, Keelakarai, Rs. 12,000 – Rs.14,0,2016-3-15
1,1,2, Pollachi, Rs. 15,000 – Rs. 17,0,2016-3-15
2,2,3, Kambam, Rs. 13,000 – Rs. 15,0,2016-3-15
3,3,4, Chinnamanur, Rs. 12,000 – Rs. 14,0,2016-3-15
4,4,5, Ayyampalayam, Rs. 13,000 – Rs. 15,0,2016-3-15
5,5,6, Natham, Rs. 12,000 – Rs.14,0,2016-3-15
6,6,7, Rajapalayam, Rs. 12,000 – Rs.14,0,2016-3-15
7,7,8, Nadu, Rs. 12,000 – Rs.14,0,2016-3-15
8,8,9, Palani, Rs. 13,000 – Rs. 15,0,2016-3-15
9,9,10, Dindigul, Rs. 13,000 – Rs. 15,0,2016-3-15
10,10,11, Kopparai Coconut (1 Ton), Rs. 47,000 to Rs. 49,0,2016-3-15
,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal / Kathari, 1, 30,2016-10-12
1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2016-10-12
2,2,Lady’s Finger / Venda Kai, 1, 28,2016-10-12
3,3,Snake Guard / Pudalai, 1, 24,2016-10-12
4,4,Bitter Gourd / Pakar kai, 1, 30,2016-10-12
5,5,Bottle gourd / Sura kai, 1, 8,2016-10-12
6,6,Pumpkin / Pusani kai, 1, 20,2016-10-12
7,7,Beans / Avarai Kai, 1, 38,2016-10-12
8,8,Cluster Beans / Kothavarai, 1, 20,2016-10-12
9,9,Red Chilies / Kundu Milagai, 1, 30,2016-10-12
10,10,Small Onion / Chinna Vengayam, 1, 26,2016-10-12
11,11,Big Onion / Pallari, 1, 16,2016-10-12
12,12,Ginger / Inji, 1, –,2016-10-12
13,13,Potato / Urulai Kelangu, 1, 30,2016-10-12
14,14,Radish / Mulangi, 1, 18,2016-10-12
15,15,Mango / Maa, 1, –,2016-10-12
16,16,Cabbage / Mutta Kose, 1, 18,2016-10-12
17,17,Carrot, 1, 36,2016-10-12
18,18,Beetroot, 1, 24,2016-10-12
19,19,Soya Beans, 1, 76,2016-10-12
20,20,Drumstick Beans / Murungai Beans, 1, 40,2016-10-12
21,21,Butter beans, 1, –,2016-10-12
22,22,Banana nut / Vala kai, 1 piece, 6,2016-10-12
23,23,Banana stem / Vala Thandu, 1, 10,2016-10-12
24,24,Banana Flower / Vala Poo, 1, 10,2016-10-12
25,25,Curry leaves / Karu Vepilai, 1, 20,2016-10-12
26,26,Coriander leaves / Malli Ilai, 1, 15,2016-10-12
27,27,Mint / Puthina, 1, 15,2016-10-12
28,28,Greens Leaves / Keerai Kattu, 1, 12,2016-10-12
29,29,Garlic / Poondu, 1, –,2016-10-12
30,30,Button Mushrooms / Button Kaalan, 1, –,2016-10-12
31,31,Papaya / Papali, 1, 25,2016-10-12
32,32,Sav Sav, 1, 26,2016-10-12
33,33,Sapotta, 1, –,2016-10-12
34,34,Puli / Tamarind, 1, 90,2016-10-12
