Commodity, Weight in Kg, Price in Rs,Date
Brinjal / Kathari, 1, 56,2017_01_01
Tomotto ottu / Thakkali Ottu, 1, 10,2017_01_01
Lady’s Finger / Venda Kai, 1, 30,2017_01_01
Snake Guard / Pudalai, 1, 18,2017_01_01
Bitter Gourd / Pakar kai, 1, 24,2017_01_01
Bottle gourd / Sura kai, 1, 8,2017_01_01
Pumpkin / Pusani kai, 1, 20,2017_01_01
Beans / Avarai Kai, 1, 32,2017_01_01
Cluster Beans / Kothavarai, 1, 18,2017_01_01
Red Chilies / Kundu Milagai, 1, 70,2017_01_01
Small Onion / Chinna Vengayam, 1, 20,2017_01_01
Big Onion / Pallari, 1, 20,2017_01_01
Ginger / Inji, 1, –,2017_01_01
Potato / Urulai Kelangu, 1, 24,2017_01_01
Radish / Mulangi, 1, 18,2017_01_01
Mango / Maa, 1, –,2017_01_01
Cabbage / Mutta Kose, 1, 10,2017_01_01
Carrot, 1, 26,2017_01_01
Beetroot, 1, 22,2017_01_01
Soya Beans, 1, 130,2017_01_01
Drumstick Beans / Murungai Beans, 1, 30,2017_01_01
Butter beans, 1, –,2017_01_01
Banana nut / Vala kai, 1 piece, 5,2017_01_01
Banana stem / Vala Thandu, 1, 10,2017_01_01
Banana Flower / Vala Poo, 1, 10,2017_01_01
Curry leaves / Karu Vepilai, 1, 20,2017_01_01
Coriander leaves / Malli Ilai, 1, 15,2017_01_01
Mint / Puthina, 1, 15,2017_01_01
Greens Leaves / Keerai Kattu, 1, 12,2017_01_01
Garlic / Poondu, 1, –,2017_01_01
Button Mushrooms / Button Kaalan, 1, –,2017_01_01
Papaya / Papali, 1, 25,2017_01_01
Sav Sav, 1, 18,2017_01_01
Sapotta, 1, –,2017_01_01
Puli / Tamarind, 1, 90,2017_01_01
